"","fsl","wash","capacity_gaps","protection","shelter","health","impact","education","calculated_msni"
"260",4,1,1,1,2,1,1,1,4
"261",1,2,1,1,2,1,1,1,2
"262",2,2,1,1,2,1,1,1,2
"263",3,2,1,1,2,1,1,1,3
"264",4,2,1,1,2,1,1,1,4
"265",1,3,1,1,2,1,1,1,3
"266",2,3,1,1,2,1,1,1,3
"267",3,3,1,1,2,1,1,1,3
"268",4,3,1,1,2,1,1,1,4
"269",1,4,1,1,2,1,1,1,4
"270",2,4,1,1,2,1,1,1,4
"271",3,4,1,1,2,1,1,1,4
"272",4,4,1,1,2,1,1,1,4
"273",1,1,2,1,2,1,1,1,2
"274",2,1,2,1,2,1,1,1,2
"275",3,1,2,1,2,1,1,1,3
"276",4,1,2,1,2,1,1,1,4
"277",1,2,2,1,2,1,1,1,2
"278",2,2,2,1,2,1,1,1,2
"279",3,2,2,1,2,1,1,1,3
"280",4,2,2,1,2,1,1,1,4
"281",1,3,2,1,2,1,1,1,3
"282",2,3,2,1,2,1,1,1,3
"283",3,3,2,1,2,1,1,1,3
"284",4,3,2,1,2,1,1,1,4
"285",1,4,2,1,2,1,1,1,4
"286",2,4,2,1,2,1,1,1,4
"287",3,4,2,1,2,1,1,1,4
"288",4,4,2,1,2,1,1,1,4
"289",1,1,3,1,2,1,1,1,3
"290",2,1,3,1,2,1,1,1,3
"291",3,1,3,1,2,1,1,1,3
"292",4,1,3,1,2,1,1,1,4
"293",1,2,3,1,2,1,1,1,3
"294",2,2,3,1,2,1,1,1,3
"295",3,2,3,1,2,1,1,1,3
"296",4,2,3,1,2,1,1,1,4
"297",1,3,3,1,2,1,1,1,3
"298",2,3,3,1,2,1,1,1,3
"299",3,3,3,1,2,1,1,1,3
"300",4,3,3,1,2,1,1,1,4
"301",1,4,3,1,2,1,1,1,4
"302",2,4,3,1,2,1,1,1,4
"303",3,4,3,1,2,1,1,1,4
"304",4,4,3,1,2,1,1,1,4
"305",1,1,4,1,2,1,1,1,4
"306",2,1,4,1,2,1,1,1,4
"307",3,1,4,1,2,1,1,1,4
"308",4,1,4,1,2,1,1,1,4
"309",1,2,4,1,2,1,1,1,4
"310",2,2,4,1,2,1,1,1,4
"311",3,2,4,1,2,1,1,1,4
"312",4,2,4,1,2,1,1,1,4
"313",1,3,4,1,2,1,1,1,4
"314",2,3,4,1,2,1,1,1,4
"315",3,3,4,1,2,1,1,1,4
"316",4,3,4,1,2,1,1,1,4
"317",1,4,4,1,2,1,1,1,4
"318",2,4,4,1,2,1,1,1,4
"319",3,4,4,1,2,1,1,1,4
"320",4,4,4,1,2,1,1,1,4
"321",1,1,1,2,2,1,1,1,2
"322",2,1,1,2,2,1,1,1,2
"323",3,1,1,2,2,1,1,1,3
"324",4,1,1,2,2,1,1,1,4
"325",1,2,1,2,2,1,1,1,2
"326",2,2,1,2,2,1,1,1,2
"327",3,2,1,2,2,1,1,1,3
"328",4,2,1,2,2,1,1,1,4
"329",1,3,1,2,2,1,1,1,3
"330",2,3,1,2,2,1,1,1,3
"331",3,3,1,2,2,1,1,1,3
"332",4,3,1,2,2,1,1,1,4
"333",1,4,1,2,2,1,1,1,4
"334",2,4,1,2,2,1,1,1,4
"335",3,4,1,2,2,1,1,1,4
"336",4,4,1,2,2,1,1,1,4
"337",1,1,2,2,2,1,1,1,2
"338",2,1,2,2,2,1,1,1,2
"339",3,1,2,2,2,1,1,1,3
"340",4,1,2,2,2,1,1,1,4
"341",1,2,2,2,2,1,1,1,2
"342",2,2,2,2,2,1,1,1,2
"343",3,2,2,2,2,1,1,1,3
"344",4,2,2,2,2,1,1,1,4
"345",1,3,2,2,2,1,1,1,3
"346",2,3,2,2,2,1,1,1,3
"347",3,3,2,2,2,1,1,1,3
"348",4,3,2,2,2,1,1,1,4
"349",1,4,2,2,2,1,1,1,4
"350",2,4,2,2,2,1,1,1,4
"351",3,4,2,2,2,1,1,1,4
"352",4,4,2,2,2,1,1,1,4
"353",1,1,3,2,2,1,1,1,3
"354",2,1,3,2,2,1,1,1,3
"355",3,1,3,2,2,1,1,1,3
"356",4,1,3,2,2,1,1,1,4
"357",1,2,3,2,2,1,1,1,3
"358",2,2,3,2,2,1,1,1,3
"359",3,2,3,2,2,1,1,1,3
"360",4,2,3,2,2,1,1,1,4
"361",1,3,3,2,2,1,1,1,3
"362",2,3,3,2,2,1,1,1,3
"363",3,3,3,2,2,1,1,1,3
"364",4,3,3,2,2,1,1,1,4
"365",1,4,3,2,2,1,1,1,4
"366",2,4,3,2,2,1,1,1,4
"367",3,4,3,2,2,1,1,1,4
"368",4,4,3,2,2,1,1,1,4
"369",1,1,4,2,2,1,1,1,4
"370",2,1,4,2,2,1,1,1,4
"371",3,1,4,2,2,1,1,1,4
